Title,Link,Year,Citations
Resources and benchmark corpora for hate speech detection: a systematic review,https://link.springer.com/article/10.1007/s10579-020-09502-8,Sept 2020,100+
"Cross-lingual Offensive Language Detection: A Systematic Review of Datasets, Transfer Approaches and Challenges",https://arxiv.org/abs/2401.09244,Jan 2024,5
"Toxic, Hateful, Offensive or Abusive? What Are We Really Classifying? An Empirical Analysis of Hate Speech Datasets",https://aclanthology.org/2020.lrec-1.838/,2020,100+
In Data We Trust: A Critical Analysis of Hate Speech Detection Datasets,https://aclanthology.org/2020.alw-1.18.pdf,2020,56
A Survey on Automatic Detection of Hate Speech in Text,https://dl.acm.org/doi/pdf/10.1145/3232676,2018,100+
A literature survey on multimodal and multilingual automatic hate speech identification,https://link.springer.com/article/10.1007/s00530-023-01051-8,Jan 2023,25
Hate speech detection: Challenges and solutions,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0221152,Aug 2019,535
"A systematic review of hate speech automatic detection using natural
language processing",https://www.sciencedirect.com/science/article/pii/S0925231223003557,2023,113
Towards a Definition of Hate Speech—With a Focus on Online Contexts,https://uu.diva-portal.org/smash/get/diva2:1701544/FULLTEXT01.pdf,2022,6
